method,n_settings,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,budget_normalized_score,final_accuracy,accuracy_auc,worst_window_dip,worst_window_recovery,mean_rank,win_rate
FedProTrack,1125,0.6392,1.0045,0.3608,0.0014,0.6779,12.0011,0.1192,2.9689,3.504,0.230
LocalOnly,1125,,,,,0.6557,11.4686,0.0931,3.1831,5.637,0.003
FedAvg,1125,,,,,0.6690,11.9822,0.0815,3.0213,4.441,0.076
Oracle,1125,1.0000,0.7635,0.0000,,0.5998,10.8928,0.1274,3.7289,7.304,0.000
FedProto,1125,,,,0.0017,0.6568,12.3904,0.1428,3.4729,5.126,0.466
TrackedSummary,1125,0.4733,0.0000,0.5267,0.0010,0.6649,11.8709,0.0861,3.1902,4.704,0.047
Flash,1125,,,,0.0024,0.6649,11.8709,0.0861,3.1902,5.704,0.047
FedDrift,1125,0.4600,0.1619,0.5400,0.0021,0.5648,10.4890,0.1097,3.6444,8.554,0.002
IFCA,1125,0.5371,0.1595,0.4629,0.0012,0.6722,12.2851,0.0758,2.2382,4.440,0.283
CompressedFedAvg,1125,,,,0.0027,0.6646,11.7840,0.1401,3.2142,5.586,0.043
