method,n_settings,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,budget_normalized_score,final_accuracy,accuracy_auc,worst_window_dip,worst_window_recovery,mean_rank,win_rate
FedProTrack,375,0.6035,0.1822,0.3965,0.0009,0.6162,11.3444,0.1974,4.3707,5.869,0.035
LocalOnly,375,,,,,0.6057,11.0329,0.1592,3.9253,6.829,0.000
FedAvg,375,,,,,0.5962,10.8864,0.2059,4.6000,6.587,0.032
Oracle,375,1.0000,0.7635,0.0000,,0.6457,11.7979,0.0957,2.7867,4.789,0.293
FedProto,375,,,,0.0017,0.5552,10.4736,0.2132,4.9707,6.699,0.056
TrackedSummary,375,,,,0.0010,0.6174,11.0734,0.2196,4.2293,3.893,0.235
Flash,375,,,,0.0024,0.6174,11.0734,0.2196,4.2293,4.893,0.235
FedDrift,375,0.5182,0.5222,0.4818,0.0026,0.6336,11.6484,0.2045,4.1760,4.216,0.203
IFCA,375,0.7151,0.4830,0.2849,0.0013,0.6335,11.6380,0.2013,4.1893,3.963,0.205
CompressedFedAvg,375,,,,0.0028,0.5701,10.5265,0.1729,4.5227,7.261,0.045
