method,n_settings,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,budget_normalized_score,final_accuracy,accuracy_auc,worst_window_dip,worst_window_recovery,mean_rank,win_rate
FedProTrack,375,0.7973,1.1319,0.2027,0.0012,0.5262,9.4886,0.1006,3.8800,5.309,0.075
LocalOnly,375,,,,,0.5089,9.5382,0.0570,3.4693,6.373,0.008
FedAvg,375,,,,,0.5145,9.4308,0.1025,4.3440,5.691,0.013
Oracle,375,1.0000,0.7635,0.0000,,0.5139,9.6277,0.0584,2.9413,5.757,0.000
FedProto,375,,,,0.0017,0.5552,10.4736,0.2132,4.9707,4.248,0.427
TrackedSummary,375,0.4733,0.0000,0.5267,0.0009,0.5140,9.4281,0.0973,4.1867,5.227,0.021
Flash,375,,,,0.0021,0.5140,9.4281,0.0973,4.1867,6.227,0.021
FedDrift,375,0.4728,0.0316,0.5272,0.0021,0.5001,9.4475,0.0549,3.1307,7.333,0.005
IFCA,375,0.6646,0.4784,0.3354,0.0012,0.5740,10.5730,0.1327,3.9147,2.299,0.448
CompressedFedAvg,375,,,,0.0025,0.5124,9.4215,0.1008,4.3120,6.536,0.008
