axis_value,method,n,concept_re_id_accuracy_mean,concept_re_id_accuracy_std,final_accuracy_mean,final_accuracy_std,wrong_memory_reuse_rate_mean,wrong_memory_reuse_rate_std,assignment_entropy_mean,assignment_entropy_std,accuracy_auc_mean,accuracy_auc_std
0.0,FedProTrack,225,0.7295,0.2015,0.6881,0.122,0.2705,0.2015,0.9324,0.1968,12.0085,2.1664
0.0,IFCA,225,0.6609,0.2556,0.6815,0.0866,0.3391,0.2556,0.0605,0.132,12.4122,1.2153
0.0,FedProto,225,,,0.6744,0.205,,,,,12.6862,3.4324
0.0,FedAvg,225,,,0.6791,0.1134,,,,,12.0234,1.8582
0.0,TrackedSummary,225,0.6333,0.2785,0.6751,0.1108,0.3667,0.2785,0.0,0.0,11.9179,1.7811
0.0,FedDrift,225,0.6017,0.2562,0.566,0.0809,0.3983,0.2562,0.1385,0.1738,10.4697,0.9957
0.25,FedProTrack,250,0.6831,0.214,0.6912,0.1174,0.3169,0.214,1.0294,0.2289,12.1768,2.1051
0.25,IFCA,250,0.5919,0.2408,0.6794,0.0762,0.4081,0.2408,0.1226,0.2271,12.3196,1.3004
0.25,FedProto,250,,,0.6868,0.2051,,,,,12.9619,3.5171
0.25,FedAvg,250,,,0.6823,0.1144,,,,,12.1238,1.8384
0.25,TrackedSummary,250,0.5493,0.2423,0.6771,0.1125,0.4507,0.2423,0.0,0.0,12.0063,1.7595
0.25,FedDrift,250,0.522,0.2227,0.5734,0.0741,0.478,0.2227,0.1959,0.1929,10.6327,1.0561
0.5,FedProTrack,225,0.6214,0.2384,0.6733,0.1288,0.3786,0.2384,1.0317,0.2421,11.9736,2.053
0.5,IFCA,225,0.522,0.2443,0.6668,0.0831,0.478,0.2443,0.1891,0.3065,12.1566,1.4317
0.5,FedProto,225,,,0.6577,0.1974,,,,,12.3452,3.4164
0.5,FedAvg,225,,,0.6675,0.1201,,,,,11.9489,1.8818
0.5,TrackedSummary,225,0.4567,0.2219,0.6628,0.1175,0.5433,0.2219,0.0,0.0,11.8356,1.8046
0.5,FedDrift,225,0.4414,0.2054,0.5629,0.0687,0.5586,0.2054,0.1643,0.172,10.4651,0.8531
0.75,FedProTrack,225,0.5876,0.2616,0.6726,0.1215,0.4124,0.2616,1.0252,0.2448,11.9987,1.9674
0.75,IFCA,225,0.4594,0.2535,0.6661,0.0789,0.5406,0.2535,0.2082,0.3463,12.2309,1.3021
0.75,FedProto,225,,,0.6483,0.1999,,,,,12.2155,3.4639
0.75,FedAvg,225,,,0.664,0.1218,,,,,11.958,1.8409
0.75,TrackedSummary,225,0.3747,0.2057,0.6595,0.1185,0.6253,0.2057,0.0,0.0,11.8435,1.7627
0.75,FedDrift,225,0.3732,0.1893,0.562,0.0651,0.6268,0.1893,0.1714,0.1764,10.4931,0.8544
1.0,FedProTrack,225,0.5798,0.2556,0.6744,0.1137,0.4202,0.2556,1.0247,0.2406,12.0511,1.9188
1.0,IFCA,225,0.4483,0.2475,0.6725,0.0685,0.5517,0.2475,0.2032,0.3468,12.3719,1.1027
1.0,FedProto,225,,,0.6424,0.1954,,,,,12.2013,3.464
1.0,FedAvg,225,,,0.6633,0.1187,,,,,12.0066,1.7592
1.0,TrackedSummary,225,0.3543,0.1752,0.6606,0.1136,0.6457,0.1752,0.0,0.0,11.8918,1.6788
1.0,FedDrift,225,0.3601,0.1652,0.5687,0.0713,0.6399,0.1652,0.166,0.1762,10.5125,0.8751
