axis_value,method,n,concept_re_id_accuracy_mean,concept_re_id_accuracy_std,final_accuracy_mean,final_accuracy_std,wrong_memory_reuse_rate_mean,wrong_memory_reuse_rate_std,assignment_entropy_mean,assignment_entropy_std,accuracy_auc_mean,accuracy_auc_std
0.1,FedProTrack,230,0.6312,0.2367,0.6755,0.1165,0.3688,0.2367,1.0432,0.2123,11.9884,1.9504
0.1,IFCA,230,0.5277,0.2527,0.6676,0.0817,0.4723,0.2527,0.171,0.3032,12.2014,1.3323
0.1,FedProto,230,,,0.6446,0.1814,,,,,12.1656,3.265
0.1,FedAvg,230,,,0.6627,0.1146,,,,,11.823,1.7173
0.1,TrackedSummary,230,0.4753,0.2507,0.6584,0.1113,0.5247,0.2507,0.0,0.0,11.7106,1.6391
0.1,FedDrift,230,0.4619,0.2301,0.5652,0.0721,0.5381,0.2301,0.1641,0.1871,10.4426,0.9423
0.3,FedProTrack,230,0.635,0.2372,0.6778,0.118,0.365,0.2372,1.0414,0.206,12.0193,1.984
0.3,IFCA,230,0.5346,0.2579,0.672,0.0783,0.4654,0.2579,0.1597,0.2924,12.2754,1.2977
0.3,FedProto,230,,,0.652,0.1876,,,,,12.2982,3.3739
0.3,FedAvg,230,,,0.6678,0.1168,,,,,11.9138,1.7663
0.3,TrackedSummary,230,0.4753,0.2507,0.664,0.1134,0.5247,0.2507,0.0,0.0,11.802,1.6875
0.3,FedDrift,230,0.4609,0.2287,0.5671,0.0721,0.5391,0.2287,0.1701,0.1839,10.5062,0.9093
0.5,FedProTrack,230,0.6401,0.2398,0.6798,0.1199,0.3599,0.2398,1.0136,0.2421,12.0479,2.0206
0.5,IFCA,230,0.5403,0.2624,0.6758,0.0747,0.4597,0.2624,0.1554,0.2877,12.333,1.2465
0.5,FedProto,230,,,0.6601,0.1951,,,,,12.4407,3.4699
0.5,FedAvg,230,,,0.6732,0.1187,,,,,12.0127,1.8342
0.5,TrackedSummary,230,0.4753,0.2507,0.6686,0.1156,0.5247,0.2507,0.0,0.0,11.8995,1.7541
0.5,FedDrift,230,0.4605,0.228,0.566,0.075,0.5395,0.228,0.1748,0.1807,10.5095,0.9326
0.7,FedProTrack,230,0.6475,0.2438,0.6823,0.1234,0.3525,0.2438,1.0011,0.2379,12.0828,2.0912
0.7,IFCA,230,0.5436,0.2653,0.6775,0.0743,0.4564,0.2653,0.1509,0.2834,12.3549,1.2206
0.7,FedProto,230,,,0.67,0.2056,,,,,12.6216,3.5361
0.7,FedAvg,230,,,0.6756,0.1198,,,,,12.1119,1.9018
0.7,TrackedSummary,230,0.4753,0.2507,0.6714,0.1167,0.5247,0.2507,0.0,0.0,11.9948,1.8195
0.7,FedDrift,230,0.4614,0.2301,0.5682,0.0718,0.5386,0.2301,0.162,0.1764,10.5615,0.9324
1.0,FedProTrack,230,0.6522,0.2507,0.6856,0.1266,0.3478,0.2507,0.9464,0.2562,12.0849,2.1779
1.0,IFCA,230,0.5424,0.2653,0.674,0.0856,0.4576,0.2653,0.1429,0.2739,12.3289,1.2887
1.0,FedProto,230,,,0.6857,0.231,,,,,12.9361,3.6567
1.0,FedAvg,230,,,0.6782,0.1189,,,,,12.2115,1.9323
1.0,TrackedSummary,230,0.4753,0.2507,0.6738,0.1164,0.5247,0.2507,0.0,0.0,12.0999,1.8586
1.0,FedDrift,230,0.4604,0.2286,0.5673,0.0708,0.5396,0.2286,0.1682,0.1697,10.5661,0.9558
