axis_value,method,n,concept_re_id_accuracy_mean,concept_re_id_accuracy_std,final_accuracy_mean,final_accuracy_std,wrong_memory_reuse_rate_mean,wrong_memory_reuse_rate_std,assignment_entropy_mean,assignment_entropy_std,accuracy_auc_mean,accuracy_auc_std
circle,FedProTrack,375,0.4616,0.2196,0.7188,0.0097,0.5384,0.2196,0.7326,0.1286,12.4972,1.0035
circle,IFCA,375,0.4733,0.2522,0.7164,0.0076,0.5267,0.2522,0.0,0.0,13.4154,0.0682
circle,FedProto,375,,,0.5028,0.0049,,,,,9.6255,0.0374
circle,FedAvg,375,,,0.7104,0.0142,,,,,13.0688,0.4194
circle,TrackedSummary,375,0.4733,0.2522,0.708,0.0132,0.5267,0.2522,0.0,0.0,12.9392,0.4272
circle,FedDrift,375,0.4671,0.2392,0.5544,0.0206,0.5329,0.2392,0.106,0.0997,10.5038,0.2633
sea,FedProTrack,400,0.6632,0.1955,0.7883,0.027,0.3368,0.1955,1.1533,0.1107,14.0167,0.2706
sea,IFCA,400,0.4791,0.2478,0.7263,0.0365,0.5209,0.2478,0.0,0.0,12.8697,0.2449
sea,FedProto,400,,,0.9127,0.0305,,,,,17.0729,0.3514
sea,FedAvg,400,,,0.7822,0.0273,,,,,13.4486,0.1809
sea,TrackedSummary,400,0.4791,0.2478,0.7727,0.0294,0.5209,0.2478,0.0,0.0,13.2471,0.1974
sea,FedDrift,400,0.4443,0.1966,0.6408,0.0675,0.5557,0.1966,0.3535,0.1533,11.5326,0.5376
sine,FedProTrack,375,0.7973,0.1821,0.5262,0.0797,0.2027,0.1821,1.1319,0.1586,9.4886,0.9358
sine,IFCA,375,0.6646,0.2359,0.574,0.0545,0.3354,0.2359,0.4784,0.3177,10.573,0.6123
sine,FedProto,375,,,0.5552,0.14,,,,,10.4736,1.4792
sine,FedAvg,375,,,0.5145,0.049,,,,,9.4308,0.401
sine,TrackedSummary,375,0.4733,0.2522,0.514,0.0481,0.5267,0.2522,0.0,0.0,9.4281,0.3722
sine,FedDrift,375,0.4728,0.2491,0.5001,0.0184,0.5272,0.2491,0.0316,0.0699,9.4475,0.251
