axis_value,method,n,concept_re_id_accuracy_mean,concept_re_id_accuracy_std,final_accuracy_mean,final_accuracy_std,wrong_memory_reuse_rate_mean,wrong_memory_reuse_rate_std,assignment_entropy_mean,assignment_entropy_std,accuracy_auc_mean,accuracy_auc_std
10.0,FedProTrack,375,0.8195,0.1362,0.6812,0.1252,0.1805,0.1362,0.9241,0.1874,12.0966,2.0686
10.0,IFCA,375,0.7895,0.1563,0.6752,0.0713,0.2105,0.1563,0.0576,0.1383,12.3623,1.2037
10.0,FedProto,375,,,0.6836,0.1923,,,,,12.7141,3.4077
10.0,FedAvg,375,,,0.6671,0.1236,,,,,11.9626,1.9036
10.0,TrackedSummary,375,0.732,0.1477,0.6634,0.1188,0.268,0.1477,0.0,0.0,11.8501,1.8305
10.0,FedDrift,375,0.6935,0.145,0.5585,0.0737,0.3065,0.145,0.1127,0.1252,10.4207,0.9172
2.0,FedProTrack,375,0.4111,0.1643,0.6878,0.1055,0.5889,0.1643,1.057,0.2509,11.9295,2.0075
2.0,IFCA,375,0.2701,0.1136,0.6705,0.0878,0.7299,0.1136,0.1905,0.2996,12.0896,1.4479
2.0,FedProto,375,,,0.6296,0.2082,,,,,12.0746,3.5049
2.0,FedAvg,375,,,0.6637,0.1224,,,,,11.9437,1.8281
2.0,TrackedSummary,375,0.214,0.0745,0.6587,0.1213,0.786,0.0745,0.0,0.0,11.8306,1.7471
2.0,FedDrift,375,0.2216,0.0688,0.5691,0.073,0.7784,0.0688,0.1849,0.1896,10.4935,0.8985
5.0,FedProTrack,400,0.6898,0.2089,0.6721,0.1298,0.3102,0.2089,1.044,0.2362,12.104,2.0581
5.0,IFCA,400,0.5525,0.1839,0.6745,0.0773,0.4475,0.1839,0.2159,0.3512,12.435,1.1471
5.0,FedProto,400,,,0.6735,0.1994,,,,,12.6764,3.4695
5.0,FedAvg,400,,,0.6829,0.1068,,,,,12.1298,1.7762
5.0,TrackedSummary,400,0.4796,0.1709,0.6789,0.1033,0.5204,0.1709,0.0,0.0,12.0157,1.6948
5.0,FedDrift,400,0.4675,0.1494,0.5722,0.0698,0.5325,0.1494,0.2036,0.2001,10.6299,0.9745
