generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc
sine,2.0,0.0,0.1,10,20,42,FedProTrack,0.68,1.18837,0.32,0.1552,4,0.001219,0.5556,9.7496
sine,2.0,0.0,0.1,10,20,42,LocalOnly,,,,0.0504,3,,0.494,9.4896
sine,2.0,0.0,0.1,10,20,42,FedAvg,,,,0.1044,6,,0.462,9.3536
sine,2.0,0.0,0.1,10,20,42,Oracle,1.0,0.0,0.0,0.108,6,,0.5016,9.6238
sine,2.0,0.0,0.1,10,20,42,FedProto,,,,0.1826,5,0.001578,0.5734,9.5937
sine,2.0,0.0,0.1,10,20,42,TrackedSummary,0.35,0.0,0.65,0.099,6,0.000872,0.461,9.2793
sine,2.0,0.0,0.1,10,20,42,Flash,,,,0.099,6,0.002035,0.461,9.2793
sine,2.0,0.0,0.1,10,20,42,FedDrift,0.35,0.0,0.65,0.041,6,0.00208,0.4848,9.487
sine,2.0,0.0,0.1,10,20,42,IFCA,0.535,0.222625,0.465,0.2032,3,0.001069,0.5824,9.746
sine,2.0,0.0,0.1,10,20,42,CompressedFedAvg,,,,0.1378,6,0.002404,0.4626,9.1361
sine,2.0,0.0,0.1,10,20,123,FedProTrack,0.795,1.296493,0.205,0.1404,6,0.001193,0.486,9.5428
sine,2.0,0.0,0.1,10,20,123,LocalOnly,,,,0.0592,2,,0.5044,9.5616
sine,2.0,0.0,0.1,10,20,123,FedAvg,,,,0.1444,6,,0.476,9.5714
sine,2.0,0.0,0.1,10,20,123,Oracle,1.0,0.0,0.0,0.1144,3,,0.5172,9.6448
sine,2.0,0.0,0.1,10,20,123,FedProto,,,,0.2058,6,0.001542,0.4108,9.3727
sine,2.0,0.0,0.1,10,20,123,TrackedSummary,0.3,0.0,0.7,0.1502,6,0.000905,0.4654,9.6264
sine,2.0,0.0,0.1,10,20,123,Flash,,,,0.1502,6,0.002111,0.4654,9.6264
sine,2.0,0.0,0.1,10,20,123,FedDrift,0.3,0.0,0.7,0.059,3,0.002102,0.4846,9.5858
sine,2.0,0.0,0.1,10,20,123,IFCA,0.515,0.188888,0.485,0.2112,2,0.001091,0.5524,9.9529
sine,2.0,0.0,0.1,10,20,123,CompressedFedAvg,,,,0.1446,6,0.002511,0.4664,9.5415
sine,2.0,0.0,0.1,10,20,456,FedProTrack,0.49,1.168013,0.51,0.206,6,0.0011,0.6072,8.803
sine,2.0,0.0,0.1,10,20,456,LocalOnly,,,,0.0772,6,,0.5124,9.492
sine,2.0,0.0,0.1,10,20,456,FedAvg,,,,0.1356,6,,0.5424,9.215
sine,2.0,0.0,0.1,10,20,456,Oracle,1.0,0.0,0.0,0.1188,4,,0.5248,9.5094
sine,2.0,0.0,0.1,10,20,456,FedProto,,,,0.2142,6,0.001619,0.385,9.8427
sine,2.0,0.0,0.1,10,20,456,TrackedSummary,0.2,0.0,0.8,0.1248,6,0.000869,0.5354,9.2473
sine,2.0,0.0,0.1,10,20,456,Flash,,,,0.1248,6,0.002028,0.5354,9.2473
sine,2.0,0.0,0.1,10,20,456,FedDrift,0.2,0.0,0.8,0.0738,6,0.002072,0.5186,9.4473
sine,2.0,0.0,0.1,10,20,456,IFCA,0.35,0.389277,0.65,0.2054,5,0.001082,0.6214,9.8681
sine,2.0,0.0,0.1,10,20,456,CompressedFedAvg,,,,0.1322,6,0.002433,0.5336,9.2458
sine,2.0,0.0,0.1,10,20,789,FedProTrack,0.74,1.07031,0.26,0.0388,2,0.001097,0.5228,8.7764
sine,2.0,0.0,0.1,10,20,789,LocalOnly,,,,0.0384,1,,0.4956,9.406
sine,2.0,0.0,0.1,10,20,789,FedAvg,,,,0.0876,6,,0.486,9.0432
sine,2.0,0.0,0.1,10,20,789,Oracle,1.0,0.0,0.0,0.1136,6,,0.436,9.6134
sine,2.0,0.0,0.1,10,20,789,FedProto,,,,0.1862,6,0.001625,0.5228,9.8795
sine,2.0,0.0,0.1,10,20,789,TrackedSummary,0.4,0.0,0.6,0.0722,5,0.000859,0.4884,9.1367
sine,2.0,0.0,0.1,10,20,789,Flash,,,,0.0722,5,0.002004,0.4884,9.1367
sine,2.0,0.0,0.1,10,20,789,FedDrift,0.4,0.0,0.6,0.04,1,0.002043,0.4958,9.317
sine,2.0,0.0,0.1,10,20,789,IFCA,0.555,0.400056,0.445,0.2028,6,0.001133,0.4222,10.3312
sine,2.0,0.0,0.1,10,20,789,CompressedFedAvg,,,,0.0692,6,0.002396,0.4892,9.1049
sine,2.0,0.0,0.1,10,20,1024,FedProTrack,0.77,1.171691,0.23,0.0972,6,0.001195,0.5808,9.558
sine,2.0,0.0,0.1,10,20,1024,LocalOnly,,,,0.0496,3,,0.49,9.3694
sine,2.0,0.0,0.1,10,20,1024,FedAvg,,,,0.1292,4,,0.5232,9.3864
sine,2.0,0.0,0.1,10,20,1024,Oracle,1.0,0.0,0.0,0.0904,1,,0.4892,9.4902
sine,2.0,0.0,0.1,10,20,1024,FedProto,,,,0.2064,6,0.001515,0.5862,9.2108
sine,2.0,0.0,0.1,10,20,1024,TrackedSummary,0.3,0.0,0.7,0.1016,4,0.000879,0.5174,9.356
sine,2.0,0.0,0.1,10,20,1024,Flash,,,,0.1016,4,0.002052,0.5174,9.356
sine,2.0,0.0,0.1,10,20,1024,FedDrift,0.3,0.0,0.7,0.0498,4,0.002079,0.4942,9.4818
sine,2.0,0.0,0.1,10,20,1024,IFCA,0.565,0.232578,0.435,0.1976,6,0.00108,0.5742,9.8514
sine,2.0,0.0,0.1,10,20,1024,CompressedFedAvg,,,,0.1036,4,0.00247,0.517,9.3876
sine,2.0,0.0,0.3,10,20,42,FedProTrack,0.675,1.216128,0.325,0.192,5,0.001225,0.5692,9.7964
sine,2.0,0.0,0.3,10,20,42,LocalOnly,,,,0.0488,3,,0.4964,9.508
sine,2.0,0.0,0.3,10,20,42,FedAvg,,,,0.1176,6,,0.454,9.3356
sine,2.0,0.0,0.3,10,20,42,Oracle,1.0,0.0,0.0,0.108,6,,0.4996,9.6308
sine,2.0,0.0,0.3,10,20,42,FedProto,,,,0.2276,5,0.001579,0.592,9.598
sine,2.0,0.0,0.3,10,20,42,TrackedSummary,0.35,0.0,0.65,0.1174,6,0.000871,0.4504,9.267
sine,2.0,0.0,0.3,10,20,42,Flash,,,,0.1174,6,0.002032,0.4504,9.267
sine,2.0,0.0,0.3,10,20,42,FedDrift,0.35,0.0,0.65,0.042,6,0.00208,0.486,9.486
sine,2.0,0.0,0.3,10,20,42,IFCA,0.53,0.228149,0.47,0.2478,3,0.001073,0.6018,9.7875
sine,2.0,0.0,0.3,10,20,42,CompressedFedAvg,,,,0.1462,6,0.002394,0.4506,9.0969
sine,2.0,0.0,0.3,10,20,123,FedProTrack,0.795,1.28884,0.205,0.156,6,0.001193,0.4844,9.5444
sine,2.0,0.0,0.3,10,20,123,LocalOnly,,,,0.0624,3,,0.5028,9.5836
sine,2.0,0.0,0.3,10,20,123,FedAvg,,,,0.1696,6,,0.4692,9.5816
sine,2.0,0.0,0.3,10,20,123,Oracle,1.0,0.0,0.0,0.1144,3,,0.5144,9.6498
sine,2.0,0.0,0.3,10,20,123,FedProto,,,,0.254,6,0.001538,0.3872,9.3517
sine,2.0,0.0,0.3,10,20,123,TrackedSummary,0.3,0.0,0.7,0.1752,6,0.000907,0.4606,9.647
sine,2.0,0.0,0.3,10,20,123,Flash,,,,0.1752,6,0.002116,0.4606,9.647
sine,2.0,0.0,0.3,10,20,123,FedDrift,0.295,0.097525,0.705,0.0644,3,0.002109,0.4958,9.615
sine,2.0,0.0,0.3,10,20,123,IFCA,0.505,0.074925,0.495,0.2576,2,0.001109,0.5686,10.1099
sine,2.0,0.0,0.3,10,20,123,CompressedFedAvg,,,,0.1684,6,0.002515,0.4578,9.5564
sine,2.0,0.0,0.3,10,20,456,FedProTrack,0.5,1.131329,0.5,0.2604,6,0.001072,0.6324,8.5768
sine,2.0,0.0,0.3,10,20,456,LocalOnly,,,,0.0792,6,,0.512,9.4738
sine,2.0,0.0,0.3,10,20,456,FedAvg,,,,0.1596,6,,0.5536,9.1918
sine,2.0,0.0,0.3,10,20,456,Oracle,1.0,0.0,0.0,0.1188,4,,0.5312,9.4986
sine,2.0,0.0,0.3,10,20,456,FedProto,,,,0.2684,6,0.001632,0.3576,9.9214
sine,2.0,0.0,0.3,10,20,456,TrackedSummary,0.2,0.0,0.8,0.1478,6,0.000865,0.5426,9.2073
sine,2.0,0.0,0.3,10,20,456,Flash,,,,0.1478,6,0.002019,0.5426,9.2073
sine,2.0,0.0,0.3,10,20,456,FedDrift,0.2,0.0,0.8,0.0752,6,0.002066,0.528,9.419
sine,2.0,0.0,0.3,10,20,456,IFCA,0.35,0.38617,0.65,0.255,6,0.001084,0.6454,9.8905
sine,2.0,0.0,0.3,10,20,456,CompressedFedAvg,,,,0.1616,6,0.002422,0.5382,9.2017
sine,2.0,0.0,0.3,10,20,789,FedProTrack,0.74,1.064067,0.26,0.0412,0,0.001093,0.5312,8.747
sine,2.0,0.0,0.3,10,20,789,LocalOnly,,,,0.0384,1,,0.4896,9.409
sine,2.0,0.0,0.3,10,20,789,FedAvg,,,,0.1068,6,,0.4796,8.9728
sine,2.0,0.0,0.3,10,20,789,Oracle,1.0,0.0,0.0,0.1136,6,,0.436,9.6102
sine,2.0,0.0,0.3,10,20,789,FedProto,,,,0.235,6,0.001643,0.5362,9.9916
sine,2.0,0.0,0.3,10,20,789,TrackedSummary,0.4,0.0,0.6,0.0856,5,0.000854,0.4854,9.0878
sine,2.0,0.0,0.3,10,20,789,Flash,,,,0.0856,5,0.001993,0.4854,9.0878
sine,2.0,0.0,0.3,10,20,789,FedDrift,0.4,0.0,0.6,0.0416,6,0.002037,0.501,9.2886
sine,2.0,0.0,0.3,10,20,789,IFCA,0.55,0.409089,0.45,0.2468,6,0.001147,0.4022,10.4565
sine,2.0,0.0,0.3,10,20,789,CompressedFedAvg,,,,0.0806,6,0.002383,0.485,9.056
sine,2.0,0.0,0.3,10,20,1024,FedProTrack,0.775,1.119709,0.225,0.1232,6,0.001199,0.5948,9.5898
sine,2.0,0.0,0.3,10,20,1024,LocalOnly,,,,0.0528,4,,0.4892,9.3514
sine,2.0,0.0,0.3,10,20,1024,FedAvg,,,,0.1512,4,,0.5248,9.3524
sine,2.0,0.0,0.3,10,20,1024,Oracle,1.0,0.0,0.0,0.0964,2,,0.4964,9.4994
sine,2.0,0.0,0.3,10,20,1024,FedProto,,,,0.263,6,0.001505,0.6058,9.1494
sine,2.0,0.0,0.3,10,20,1024,TrackedSummary,0.3,0.0,0.7,0.122,6,0.000878,0.5252,9.3377
sine,2.0,0.0,0.3,10,20,1024,Flash,,,,0.122,6,0.002048,0.5252,9.3377
sine,2.0,0.0,0.3,10,20,1024,FedDrift,0.3,0.0,0.7,0.0658,4,0.002071,0.4966,9.442
sine,2.0,0.0,0.3,10,20,1024,IFCA,0.57,0.230162,0.43,0.236,6,0.001091,0.5904,9.953
sine,2.0,0.0,0.3,10,20,1024,CompressedFedAvg,,,,0.1238,4,0.002466,0.5208,9.3713
sine,2.0,0.0,0.5,10,20,42,FedProTrack,0.675,1.140117,0.325,0.2448,5,0.001238,0.5976,9.9018
sine,2.0,0.0,0.5,10,20,42,LocalOnly,,,,0.0472,6,,0.4956,9.5268
sine,2.0,0.0,0.5,10,20,42,FedAvg,,,,0.1324,6,,0.442,9.328
sine,2.0,0.0,0.5,10,20,42,Oracle,1.0,0.0,0.0,0.108,6,,0.5052,9.6384
sine,2.0,0.0,0.5,10,20,42,FedProto,,,,0.305,5,0.001582,0.6248,9.6184
sine,2.0,0.0,0.5,10,20,42,TrackedSummary,0.35,0.0,0.65,0.1334,6,0.000868,0.4388,9.2402
sine,2.0,0.0,0.5,10,20,42,Flash,,,,0.1334,6,0.002026,0.4388,9.2402
sine,2.0,0.0,0.5,10,20,42,FedDrift,0.35,0.0,0.65,0.0514,4,0.002072,0.495,9.4489
