generator_type,rho,alpha,delta,K,T,seed,method,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,worst_window_dip,worst_window_recovery,budget_normalized_score,final_accuracy,accuracy_auc
sine,5.0,0.5,0.5,10,20,42,FedProTrack,0.915,1.25208,0.085,0.0624,1,0.001195,0.4716,9.5624
sine,5.0,0.5,0.5,10,20,42,IFCA,0.67,0.669898,0.33,0.1044,3,0.001135,0.5352,10.3505
sine,5.0,0.5,0.5,10,20,42,FedProto,,,,0.17,6,0.00158,0.4382,9.606
sine,5.0,0.5,0.5,10,20,42,FedAvg,,,,0.0708,6,,0.552,9.497
sine,5.0,0.5,0.5,10,20,43,FedProTrack,0.91,1.289997,0.09,0.1248,6,0.001153,0.522,9.2232
sine,5.0,0.5,0.5,10,20,43,IFCA,0.615,0.893057,0.385,0.0804,6,0.001116,0.5264,10.1776
sine,5.0,0.5,0.5,10,20,43,FedProto,,,,0.1458,6,0.001699,0.4726,10.3281
sine,5.0,0.5,0.5,10,20,43,FedAvg,,,,0.1176,6,,0.5032,9.085
sine,5.0,0.5,0.5,10,20,44,FedProTrack,0.89,1.34124,0.11,0.0904,6,0.001219,0.5084,9.754
sine,5.0,0.5,0.5,10,20,44,IFCA,0.595,0.516979,0.405,0.1294,2,0.001204,0.4994,10.9839
sine,5.0,0.5,0.5,10,20,44,FedProto,,,,0.1538,6,0.001775,0.493,10.794
sine,5.0,0.5,0.5,10,20,44,FedAvg,,,,0.0728,6,,0.4924,9.1504
sine,5.0,0.5,0.5,10,20,45,FedProTrack,0.885,1.33175,0.115,0.0612,2,0.001314,0.5268,10.5096
sine,5.0,0.5,0.5,10,20,45,IFCA,0.805,0.462004,0.195,0.0774,6,0.001202,0.5148,10.9648
sine,5.0,0.5,0.5,10,20,45,FedProto,,,,0.0858,2,0.001828,0.5426,11.1119
sine,5.0,0.5,0.5,10,20,45,FedAvg,,,,0.0496,2,,0.5364,10.1568
sine,5.0,0.5,0.5,10,20,46,FedProTrack,0.935,1.310874,0.065,0.1132,6,0.001171,0.5328,9.3648
sine,5.0,0.5,0.5,10,20,46,IFCA,0.66,0.689775,0.34,0.1524,6,0.001148,0.5628,10.466
sine,5.0,0.5,0.5,10,20,46,FedProto,,,,0.1488,6,0.001565,0.553,9.5166
