method,seed,final_accuracy,accuracy_auc,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,total_bytes,wall_clock_s
FPT-linear-base,42,0.52,6.300624999999999,0.3875,0.5641763324974804,0.6125,462960.0,0.7065451145172119
FPT-adapter-ep20-fed5,42,0.46624999999999994,4.92875,0.3375,0.17167396782445032,0.6625,651632.0,1.3491077423095703
FPT-adapter-ep30-fed5,42,0.515,5.726875,0.3375,0.17167396782445032,0.6625,651632.0,1.79856276512146
CFL,42,0.661875,8.6675,,,,374400.0,0.26370716094970703
IFCA,42,0.334375,3.449375,0.15,2.489292122685024e-10,0.85,936000.0,0.3507270812988281
FPT-linear-base,43,0.43000000000000005,7.355625,0.4625,0.5291080935899555,0.5375,462960.0,0.6800916194915771
FPT-adapter-ep20-fed5,43,0.36000000000000004,5.474375,0.325,0.1651581435662613,0.675,624208.0,1.3356995582580566
FPT-adapter-ep30-fed5,43,0.40875000000000006,6.6312500000000005,0.325,0.1651581435662613,0.675,624208.0,1.8026065826416016
CFL,43,0.51,9.725625,,,,374400.0,0.2751946449279785
IFCA,43,0.260625,3.6306249999999998,0.25,2.489292122685024e-10,0.75,936000.0,0.3449575901031494
FPT-linear-base,44,0.48624999999999996,6.1775,0.5125,0.5726430338061198,0.4875,462960.0,0.7022476196289062
FPT-adapter-ep20-fed5,44,0.3025,4.799375,0.325,0.16857738126009067,0.675,651632.0,1.3743882179260254
FPT-adapter-ep30-fed5,44,0.33875,5.68625,0.325,0.16857738126009067,0.675,651632.0,1.770843505859375
CFL,44,0.6018749999999999,8.575937499999998,,,,374400.0,0.2708733081817627
IFCA,44,0.28812499999999996,3.4456249999999993,0.175,2.489292122685024e-10,0.825,936000.0,0.3400905132293701
FPT-linear-base,45,0.53125,6.246875,0.3875,0.5595349490402742,0.6125,462960.0,0.677666187286377
FPT-adapter-ep20-fed5,45,0.28125,4.608125,0.3125,0.17140169296248692,0.6875,637920.0,1.3404006958007812
FPT-adapter-ep30-fed5,45,0.31375000000000003,5.535625,0.3125,0.17140169296248692,0.6875,637920.0,1.8114185333251953
CFL,45,0.6381249999999999,8.7065625,,,,374400.0,0.2558746337890625
IFCA,45,0.334375,3.2934375000000005,0.1875,2.489292122685024e-10,0.8125,936000.0,0.35504150390625
FPT-linear-base,46,0.49875,7.194375,0.425,0.5536266773086476,0.575,462960.0,0.673602819442749
FPT-adapter-ep20-fed5,46,0.46125000000000005,5.769375,0.3625,0.17119573267568705,0.6375,637920.0,1.344545602798462
FPT-adapter-ep30-fed5,46,0.5049999999999999,6.6675,0.3625,0.17119573267568705,0.6375,637920.0,1.8013122081756592
CFL,46,0.61625,9.775625000000002,,,,374400.0,0.288769006729126
IFCA,46,0.31,3.8281249999999996,0.1875,2.489292122685024e-10,0.8125,936000.0,0.34499168395996094
