T,seed,method,final_accuracy,accuracy_auc,concept_re_id_accuracy,wrong_memory_reuse_rate,assignment_entropy,total_bytes,wall_clock_s
6,42,FedProTrack-base,0.40249999999999997,1.1275,0.5833333333333334,0.4166666666666667,0.33941902745632757,124848.0,0.18217849731445312
6,42,FedProTrack-hybrid-proto,0.5774999999999999,1.94,0.4583333333333333,0.5416666666666666,1.3815510557964273e-11,156240.0,0.35161447525024414
6,42,CFL,0.62625,2.2093749999999996,,,,83200.0,0.14322185516357422
6,42,IFCA,0.21625,0.5912499999999999,0.625,0.375,0.4184941084299046,208000.0,0.13155770301818848
6,43,FedProTrack-base,0.41,1.1,0.5,0.5,0.3290500749054764,130048.0,0.1754000186920166
6,43,FedProTrack-hybrid-proto,0.525,1.6550000000000002,0.5416666666666666,0.4583333333333333,1.3815510557964273e-11,156240.0,0.2721748352050781
6,43,CFL,0.5725,1.9543749999999998,,,,83200.0,0.08528304100036621
6,43,IFCA,0.18375000000000002,0.560625,0.5416666666666666,0.4583333333333333,0.3872532670622059,208000.0,0.11827349662780762
6,44,FedProTrack-base,0.3325,1.26125,0.5,0.5,0.33225904187004435,130048.0,0.13921737670898438
6,44,FedProTrack-hybrid-proto,0.4125,1.97375,0.4166666666666667,0.5833333333333334,1.3815510557964273e-11,156240.0,0.2485649585723877
6,44,CFL,0.47500000000000003,2.246875,,,,83200.0,0.07225322723388672
6,44,IFCA,0.1525,0.608125,0.5,0.5,0.5369429737537633,208000.0,0.10124397277832031
6,45,FedProTrack-base,0.42000000000000004,1.19625,0.5,0.5,0.33334859661291416,130048.0,0.1096954345703125
6,45,FedProTrack-hybrid-proto,0.45,1.29875,0.5,0.5,0.09227632380593782,140640.0,0.2901027202606201
6,45,CFL,0.5687500000000001,2.1025,,,,83200.0,0.08493542671203613
6,45,IFCA,0.18125,0.5487500000000001,0.5,0.5,0.5965003212494021,208000.0,0.10915803909301758
6,46,FedProTrack-base,0.405,1.1875,0.625,0.375,0.3270352176318134,130048.0,0.16188287734985352
6,46,FedProTrack-hybrid-proto,0.51,1.4875000000000003,0.625,0.375,0.2081973185526673,145840.0,0.20944714546203613
6,46,CFL,0.6174999999999999,2.085,,,,83200.0,0.09119272232055664
6,46,IFCA,0.20249999999999999,0.589375,0.4166666666666667,0.5833333333333334,0.09372252415414317,208000.0,0.1194922924041748
10,42,FedProTrack-base,0.38999999999999996,2.125,0.6,0.4,0.4356512200182051,228880.0,0.29460597038269043
10,42,FedProTrack-hybrid-proto,0.46,2.68,0.4,0.6,0.0554099289708909,244800.0,0.22759389877319336
10,42,CFL,0.55375,3.3575,,,,166400.0,0.11434769630432129
10,42,IFCA,0.21125,1.1481249999999998,0.45,0.55,0.10397207718921368,416000.0,0.15265655517578125
10,43,FedProTrack-base,0.32999999999999996,2.2712499999999998,0.625,0.375,0.42275793077590496,228880.0,0.2663614749908447
10,43,FedProTrack-hybrid-proto,0.3625,2.7025,0.5,0.5,0.20910882354720423,255200.0,0.31494140625
10,43,CFL,0.41750000000000004,3.286875,,,,166400.0,0.14063429832458496
10,43,IFCA,0.18125,1.130625,0.425,0.575,0.05623351456987776,416000.0,0.18080735206604004
10,44,FedProTrack-base,0.305,2.28375,0.6,0.4,0.4397792940977994,228880.0,0.2502923011779785
10,44,FedProTrack-hybrid-proto,0.3925,3.1975,0.425,0.575,0.1606591405680551,255200.0,0.29755544662475586
10,44,CFL,0.45,3.4425,,,,166400.0,0.10588765144348145
10,44,IFCA,0.185,1.2025000000000001,0.35,0.65,1.1077410668885976e-10,416000.0,0.1379106044769287
10,45,FedProTrack-base,0.315,2.32375,0.55,0.45,0.41967832911200825,228880.0,0.2500114440917969
10,45,FedProTrack-hybrid-proto,0.375,3.20125,0.425,0.575,0.22097646687453648,255200.0,0.2986421585083008
10,45,CFL,0.45,3.670000000000001,,,,166400.0,0.14034795761108398
10,45,IFCA,0.16625,1.15875,0.35,0.65,1.1077410668885976e-10,416000.0,0.13380956649780273
10,46,FedProTrack-base,0.32,2.1700000000000004,0.65,0.35,0.4276915006294191,223680.0,0.2625913619995117
10,46,FedProTrack-hybrid-proto,0.3325,2.63125,0.325,0.675,0.05050375304701882,250000.0,0.3054468631744385
10,46,CFL,0.4225,3.2925,,,,166400.0,0.13200783729553223
10,46,IFCA,0.16625,1.12125,0.35,0.65,1.1077410668885976e-10,416000.0,0.17025971412658691
15,42,FedProTrack-base,0.4275,4.21875,0.35,0.65,0.46821846672712175,317312.0,0.370802640914917
