method,seed,final_accuracy,accuracy_auc,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,total_bytes,wall_clock_s
FPT-linear,42,0.52,6.300624999999999,0.3875,0.5641763324974804,0.6125,462960.0,0.6815836429595947
FPT-adapter-coupled,42,0.515,5.726875,0.3125,0.17033304483250325,0.6875,679056.0,1.8270776271820068
FPT-adapter-decoupled,42,0.515,5.726875,0.3125,0.17029011183234685,0.6875,679056.0,1.8149619102478027
CFL,42,0.6637500000000001,8.7565625,,,,124800.0,0.2745943069458008
FPT-linear,43,0.43000000000000005,7.355625,0.4625,0.5291080935899555,0.5375,462960.0,0.6531980037689209
FPT-adapter-coupled,43,0.40875000000000006,6.6312500000000005,0.2875,0.17092098789975846,0.7125,651632.0,1.8121933937072754
FPT-adapter-decoupled,43,0.40875000000000006,6.6312500000000005,0.2875,0.17074215655925246,0.7125,651632.0,1.7985153198242188
CFL,43,0.49812500000000004,9.8440625,,,,124800.0,0.27819180488586426
FPT-linear,44,0.48624999999999996,6.1775,0.5125,0.5726430338061198,0.4875,462960.0,0.6638963222503662
FPT-adapter-coupled,44,0.33875,5.68625,0.325,0.17056545913424404,0.675,665344.0,1.8151888847351074
FPT-adapter-decoupled,44,0.33875,5.68625,0.325,0.17031033987199834,0.675,665344.0,1.7870795726776123
CFL,44,0.5862499999999999,8.535625000000001,,,,124800.0,0.2765841484069824
FPT-linear,45,0.53125,6.246875,0.3875,0.5595349490402742,0.6125,462960.0,0.6599657535552979
FPT-adapter-coupled,45,0.31375000000000003,5.535625,0.3,0.16789794365084482,0.7,651632.0,1.8613064289093018
FPT-adapter-decoupled,45,0.31375000000000003,5.535625,0.3,0.1677622440282637,0.7,651632.0,2.105241298675537
CFL,45,0.61625,8.596250000000001,,,,124800.0,0.3138718605041504
FPT-linear,46,0.49875,7.194375,0.425,0.5536266773086476,0.575,462960.0,0.8140301704406738
FPT-adapter-coupled,46,0.5049999999999999,6.6675,0.375,0.16977088478150884,0.625,651632.0,2.0673484802246094
FPT-adapter-decoupled,46,0.5049999999999999,6.6675,0.375,0.1693300089709846,0.625,651632.0,2.0007307529449463
CFL,46,0.589375,9.784687499999999,,,,124800.0,0.309114933013916
