method,seed,final_accuracy,accuracy_auc,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,total_bytes,wall_clock_s
adapter-baseline,42,0.515,5.726875,0.3375,0.17167396782445032,0.6625,651632.0,2.915553092956543
adapter-relaxed,42,0.515,5.726875,0.3375,0.17167396782445032,0.6625,651632.0,2.416830539703369
adapter-very-relaxed,42,0.515,5.726875,0.3375,0.17167396782445032,0.6625,651632.0,2.674053907394409
adapter-fewer-epochs,42,0.3325,3.3531249999999995,0.3375,0.17167396782445032,0.6625,651632.0,1.285961627960205
linear,42,0.52,6.300624999999999,0.3875,0.5641763324974804,0.6125,462960.0,1.2341876029968262
CFL,42,0.661875,8.6675,,,,374400.0,0.43657541275024414
adapter-baseline,43,0.40875000000000006,6.6312500000000005,0.325,0.1651581435662613,0.675,624208.0,2.5284910202026367
adapter-relaxed,43,0.40875000000000006,6.6312500000000005,0.325,0.1651581435662613,0.675,624208.0,2.4817135334014893
adapter-very-relaxed,43,0.40875000000000006,6.6312500000000005,0.325,0.1651581435662613,0.675,624208.0,2.480229616165161
adapter-fewer-epochs,43,0.30375,3.6575,0.325,0.1651581435662613,0.675,624208.0,1.3279109001159668
linear,43,0.43000000000000005,7.355625,0.4625,0.5291080935899555,0.5375,462960.0,0.9871904850006104
CFL,43,0.51,9.725625,,,,374400.0,0.37434983253479004
adapter-baseline,44,0.33875,5.68625,0.325,0.16857738126009067,0.675,651632.0,2.5888452529907227
adapter-relaxed,44,0.33875,5.68625,0.325,0.16857738126009067,0.675,651632.0,2.5208826065063477
adapter-very-relaxed,44,0.33875,5.68625,0.325,0.16857738126009067,0.675,651632.0,2.805487632751465
adapter-fewer-epochs,44,0.1825,3.1743750000000004,0.325,0.16857738126009067,0.675,651632.0,1.3265759944915771
linear,44,0.48624999999999996,6.1775,0.5125,0.5726430338061198,0.4875,462960.0,0.9904336929321289
CFL,44,0.6018749999999999,8.575937499999998,,,,374400.0,0.35239696502685547
adapter-baseline,45,0.31375000000000003,5.535625,0.3125,0.17140169296248692,0.6875,637920.0,2.4442102909088135
adapter-relaxed,45,0.31375000000000003,5.535625,0.3125,0.17140169296248692,0.6875,637920.0,2.5833911895751953
adapter-very-relaxed,45,0.31375000000000003,5.535625,0.3125,0.17140169296248692,0.6875,637920.0,2.8877952098846436
adapter-fewer-epochs,45,0.155,3.1287500000000006,0.3125,0.17140169296248692,0.6875,637920.0,1.281935214996338
linear,45,0.53125,6.246875,0.3875,0.5595349490402742,0.6125,462960.0,1.0720531940460205
CFL,45,0.6381249999999999,8.7065625,,,,374400.0,0.36118149757385254
adapter-baseline,46,0.5049999999999999,6.6675,0.3625,0.17119573267568705,0.6375,637920.0,2.601327657699585
adapter-relaxed,46,0.5049999999999999,6.6675,0.3625,0.17119573267568705,0.6375,637920.0,2.5713517665863037
adapter-very-relaxed,46,0.5049999999999999,6.6675,0.3625,0.17119573267568705,0.6375,637920.0,2.5608339309692383
adapter-fewer-epochs,46,0.32375,3.8868750000000003,0.3625,0.17119573267568705,0.6375,637920.0,1.237009048461914
linear,46,0.49875,7.194375,0.425,0.5536266773086476,0.575,462960.0,0.9389770030975342
CFL,46,0.61625,9.775625000000002,,,,374400.0,0.3602142333984375
