method,seed,final_accuracy,accuracy_auc,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,total_bytes,wall_clock_s
adapter-lr005,42,0.515,5.726875,0.3375,0.17167396782445032,0.6625,651632.0,2.974517583847046
adapter-lr01,42,0.22749999999999998,2.433125,0.3375,0.17167396782445032,0.6625,651632.0,2.7599375247955322
adapter-lr005e,42,0.11875,1.70375,0.3375,0.17167396782445032,0.6625,651632.0,2.8901607990264893
adapter-lr001,42,0.053750000000000006,1.15125,0.3375,0.17167396782445032,0.6625,651632.0,2.968672752380371
linear,42,0.52,6.300624999999999,0.3875,0.5641763324974804,0.6125,462960.0,1.1324713230133057
CFL,42,0.661875,8.6675,,,,374400.0,0.4524860382080078
adapter-lr005,43,0.40875000000000006,6.6312500000000005,0.325,0.1651581435662613,0.675,624208.0,2.987156629562378
adapter-lr01,43,0.2025,2.630625,0.325,0.1651581435662613,0.675,624208.0,2.8320529460906982
adapter-lr005e,43,0.11875,1.5800000000000003,0.325,0.1651581435662613,0.675,624208.0,2.680928945541382
adapter-lr001,43,0.065,1.0006249999999999,0.325,0.1651581435662613,0.675,624208.0,2.9291226863861084
linear,43,0.43000000000000005,7.355625,0.4625,0.5291080935899555,0.5375,462960.0,1.182309627532959
CFL,43,0.51,9.725625,,,,374400.0,0.3742682933807373
adapter-lr005,44,0.33875,5.68625,0.325,0.16857738126009067,0.675,651632.0,3.0672121047973633
adapter-lr01,44,0.115,2.323125,0.325,0.16857738126009067,0.675,651632.0,3.3033761978149414
adapter-lr005e,44,0.1025,1.6456250000000003,0.325,0.16857738126009067,0.675,651632.0,3.292900562286377
adapter-lr001,44,0.05875,1.14,0.325,0.16857738126009067,0.675,651632.0,3.138453245162964
linear,44,0.48624999999999996,6.1775,0.5125,0.5726430338061198,0.4875,462960.0,1.2360408306121826
CFL,44,0.6018749999999999,8.575937499999998,,,,374400.0,0.4158337116241455
adapter-lr005,45,0.31375000000000003,5.535625,0.3125,0.17140169296248692,0.6875,637920.0,3.006721019744873
adapter-lr01,45,0.12375000000000001,2.348125,0.3125,0.17140169296248692,0.6875,637920.0,3.013629198074341
adapter-lr005e,45,0.10250000000000001,1.6675000000000002,0.3125,0.17140169296248692,0.6875,637920.0,3.1142804622650146
adapter-lr001,45,0.058750000000000004,1.1218750000000002,0.3125,0.17140169296248692,0.6875,637920.0,3.215334415435791
linear,45,0.53125,6.246875,0.3875,0.5595349490402742,0.6125,462960.0,1.2845759391784668
CFL,45,0.6381249999999999,8.7065625,,,,374400.0,0.45571136474609375
adapter-lr005,46,0.5049999999999999,6.6675,0.3625,0.17119573267568705,0.6375,637920.0,3.152646541595459
adapter-lr01,46,0.22,2.77125,0.3625,0.17119573267568705,0.6375,637920.0,3.1665916442871094
adapter-lr005e,46,0.13624999999999998,1.9218749999999998,0.3625,0.17119573267568705,0.6375,637920.0,3.2151880264282227
adapter-lr001,46,0.07625000000000001,1.2581250000000002,0.3625,0.17119573267568705,0.6375,637920.0,3.1808648109436035
linear,46,0.49875,7.194375,0.425,0.5536266773086476,0.575,462960.0,1.249664068222046
CFL,46,0.61625,9.775625000000002,,,,374400.0,0.4444103240966797
