method,n_samples,seed,final_accuracy,accuracy_auc,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,total_bytes,wall_clock_s
Oracle,200,42,0.1325,1.6512499999999999,1.0,1.1718096053371716,0.0,374400.0,0.11919689178466797
FPT-linear,200,42,0.5125,6.16625,0.3875,0.5629956708661105,0.6125,462960.0,0.9502768516540527
CFL,200,42,0.66375,8.740000000000002,,,,374400.0,0.3340744972229004
FedAvg,200,42,0.495,5.2325,,,,374400.0,0.04096198081970215
Oracle,200,43,0.15000000000000002,2.305,1.0,1.0439682469518277,0.0,374400.0,0.11304163932800293
FPT-linear,200,43,0.425,6.625,0.45,0.5360820627583798,0.55,462960.0,0.8189771175384521
CFL,200,43,0.47875,9.423125,,,,374400.0,0.3580129146575928
FedAvg,200,43,0.38,5.617499999999999,,,,374400.0,0.061423540115356445
Oracle,200,44,0.11249999999999999,1.83125,1.0,1.0243464415606618,0.0,374400.0,0.09502792358398438
FPT-linear,200,44,0.4325,5.68625,0.5125,0.5702140488595111,0.4875,462960.0,0.85135817527771
CFL,200,44,0.57125,8.524375,,,,374400.0,0.3321504592895508
FedAvg,200,44,0.3975,4.82125,,,,374400.0,0.059468746185302734
Oracle,200,45,0.135,1.38625,1.0,1.0374276451547721,0.0,374400.0,0.09811139106750488
FPT-linear,200,45,0.475,6.04875,0.4125,0.5619515165739596,0.5875,462960.0,0.9477558135986328
CFL,200,45,0.61,8.71875,,,,374400.0,0.3261284828186035
FedAvg,200,45,0.39749999999999996,5.097499999999999,,,,374400.0,0.04767298698425293
Oracle,200,46,0.1275,1.8237499999999998,1.0,1.1783502071328453,0.0,374400.0,0.09623289108276367
FPT-linear,200,46,0.4375,6.8412500000000005,0.3875,0.5548071247477366,0.6125,462960.0,0.841832160949707
CFL,200,46,0.5800000000000001,9.602500000000001,,,,374400.0,0.2852003574371338
FedAvg,200,46,0.4175,5.80875,,,,374400.0,0.05761098861694336
Oracle,400,42,0.13874999999999998,1.63875,1.0,1.1718096053371716,0.0,374400.0,0.11803102493286133
FPT-linear,400,42,0.52,6.300624999999999,0.3875,0.5641763324974804,0.6125,462960.0,1.1804924011230469
CFL,400,42,0.661875,8.6675,,,,374400.0,0.4026215076446533
FedAvg,400,42,0.485,5.114374999999999,,,,374400.0,0.06017804145812988
Oracle,400,43,0.14250000000000002,2.281875,1.0,1.0439682469518277,0.0,374400.0,0.09214901924133301
FPT-linear,400,43,0.43000000000000005,7.355625,0.4625,0.5291080935899555,0.5375,462960.0,1.2643959522247314
CFL,400,43,0.51,9.725625,,,,374400.0,0.5198211669921875
FedAvg,400,43,0.36375,5.57125,,,,374400.0,0.0636453628540039
Oracle,400,44,0.1125,1.750625,1.0,1.0243464415606618,0.0,374400.0,0.11015462875366211
FPT-linear,400,44,0.48624999999999996,6.1775,0.5125,0.5726430338061198,0.4875,462960.0,1.3877692222595215
CFL,400,44,0.6018749999999999,8.575937499999998,,,,374400.0,0.4246697425842285
FedAvg,400,44,0.43000000000000005,4.871875000000001,,,,374400.0,0.06708621978759766
Oracle,400,45,0.125,1.47875,1.0,1.0374276451547721,0.0,374400.0,0.09132814407348633
FPT-linear,400,45,0.53125,6.246875,0.3875,0.5595349490402742,0.6125,462960.0,1.2638542652130127
CFL,400,45,0.6381249999999999,8.7065625,,,,374400.0,0.3888237476348877
FedAvg,400,45,0.46875,5.065625,,,,374400.0,0.06842994689941406
Oracle,400,46,0.14125000000000001,1.788125,1.0,1.1783502071328453,0.0,374400.0,0.1152961254119873
FPT-linear,400,46,0.49875,7.194375,0.425,0.5536266773086476,0.575,462960.0,1.2308626174926758
CFL,400,46,0.61625,9.775625000000002,,,,374400.0,0.44549012184143066
FedAvg,400,46,0.46625,5.764375,,,,374400.0,0.06249833106994629
Oracle,800,42,0.11812500000000001,1.574375,1.0,1.1718096053371716,0.0,374400.0,0.13213157653808594
FPT-linear,800,42,0.5599999999999999,6.379062499999999,0.3875,0.5634737814573813,0.6125,462960.0,1.9566433429718018
CFL,800,42,0.66875,8.875468750000001,,,,374400.0,0.6456608772277832
FedAvg,800,42,0.485,5.1228125,,,,374400.0,0.0784158706665039
Oracle,800,43,0.135,2.2103125,1.0,1.0439682469518277,0.0,374400.0,0.11797356605529785
FPT-linear,800,43,0.484375,7.54125,0.45,0.5171894670798473,0.55,462960.0,1.8304741382598877
CFL,800,43,0.5231250000000001,9.824687500000001,,,,374400.0,0.6109287738800049
FedAvg,800,43,0.389375,5.7056249999999995,,,,374400.0,0.09143495559692383
Oracle,800,44,0.10749999999999998,1.7959374999999997,1.0,1.0243464415606618,0.0,374400.0,0.11645269393920898
FPT-linear,800,44,0.48875,6.2621875,0.5125,0.5734238171542437,0.4875,462960.0,1.8084871768951416
CFL,800,44,0.6221875,8.6428125,,,,374400.0,0.663454532623291
FedAvg,800,44,0.425,4.9515625000000005,,,,374400.0,0.07531571388244629
Oracle,800,45,0.1325,1.458125,1.0,1.0374276451547721,0.0,374400.0,0.12050986289978027
FPT-linear,800,45,0.5231250000000001,6.0740625,0.425,0.557692409387385,0.575,462960.0,1.819472312927246
CFL,800,45,0.650625,8.841406249999999,,,,374400.0,0.6933579444885254
FedAvg,800,45,0.45999999999999996,5.0737499999999995,,,,374400.0,0.07056879997253418
Oracle,800,46,0.14375,1.7521875000000002,1.0,1.1783502071328453,0.0,374400.0,0.13881301879882812
FPT-linear,800,46,0.469375,7.210625,0.4625,0.548732413797555,0.5375,462960.0,1.9005234241485596
CFL,800,46,0.6215625,9.8159375,,,,374400.0,0.5948858261108398
FedAvg,800,46,0.428125,5.772500000000001,,,,374400.0,0.07853341102600098
Oracle,1200,42,0.11083333333333334,1.560625,1.0,1.1718096053371716,0.0,374400.0,0.13896846771240234
FPT-linear,1200,42,0.5241666666666667,6.223958333333334,0.4,0.5631170126410336,0.6,462960.0,2.3470346927642822
CFL,1200,42,0.6752083333333333,8.8503125,,,,374400.0,0.742985725402832
FedAvg,1200,42,0.4754166666666667,5.107916666666665,,,,374400.0,0.0963895320892334
Oracle,1200,43,0.12666666666666668,2.22,1.0,1.0439682469518277,0.0,374400.0,0.12497949600219727
FPT-linear,1200,43,0.44333333333333336,7.094166666666666,0.45,0.5071552860795265,0.55,462960.0,2.182765007019043
CFL,1200,43,0.5137499999999999,9.822083333333332,,,,374400.0,0.7955453395843506
FedAvg,1200,43,0.3754166666666667,5.636041666666666,,,,374400.0,0.07965469360351562
Oracle,1200,44,0.10833333333333334,1.8812499999999999,1.0,1.0243464415606618,0.0,374400.0,0.12419676780700684
FPT-linear,1200,44,0.4766666666666667,6.09875,0.5,0.57534074332049,0.5,462960.0,2.0453197956085205
CFL,1200,44,0.6041666666666666,8.668958333333332,,,,374400.0,0.7649877071380615
FedAvg,1200,44,0.40458333333333335,4.921458333333334,,,,374400.0,0.079254150390625
Oracle,1200,45,0.11958333333333333,1.5012499999999998,1.0,1.0374276451547721,0.0,374400.0,0.1291673183441162
FPT-linear,1200,45,0.5375,6.359791666666666,0.375,0.5567205188247183,0.625,462960.0,2.1342363357543945
CFL,1200,45,0.6383333333333333,8.8121875,,,,374400.0,0.7674031257629395
FedAvg,1200,45,0.4525,5.040208333333333,,,,374400.0,0.08677005767822266
Oracle,1200,46,0.12291666666666666,1.7631249999999998,1.0,1.1783502071328453,0.0,374400.0,0.11986470222473145
