method,canonical_method,status,final_accuracy,accuracy_auc,concept_re_id_accuracy,wrong_memory_reuse_rate,assignment_entropy,total_bytes,wall_clock_s
CFL,CFL,ok,0.62625,2.2093749999999996,,,,83200.0,0.15941405296325684
FedCCFA,FedCCFA,ok,0.5775,1.505,0.5,0.5,5.551206445700265e-11,165120.0,0.13234543800354004
FedProTrack-linear-hybrid-proto,FedProTrack,ok,0.5774999999999999,1.94,0.4583333333333333,0.5416666666666666,1.3815510557964273e-11,156240.0,0.2668933868408203
FedRC,FedRC,ok,0.5650000000000001,2.07375,0.4583333333333333,0.5416666666666666,5.551206445700265e-11,166400.0,0.23540163040161133
FedProto,FedProto,ok,0.56,2.0012499999999998,,,,81920.0,0.008171796798706055
FLUX,FLUX,ok,0.5249999999999999,1.5375,,,,174592.0,0.8056619167327881
FLUX-prior,FLUX-prior,ok,0.49625,1.380625,,,,174592.0,0.3332841396331787
FedAvg-FPTTrain,FedAvg-FPTTrain,ok,0.4875,1.4625,,,,83200.0,0.08723640441894531
ATP,ATP,ok,0.41125,1.219375,,,,83328.0,0.06289219856262207
FedAvg,FedAvg,ok,0.3375,0.9800000000000001,,,,83200.0,0.02078723907470703
APFL,APFL,ok,0.32625,0.8825000000000001,,,,83232.0,0.09186768531799316
pFedMe,pFedMe,ok,0.2425,1.05625,,,,83200.0,0.2973754405975342
Flash,Flash,ok,0.24,0.70375,,,,83200.0,0.09800457954406738
TrackedSummary,TrackedSummary,ok,0.23875,0.651875,0.5,0.5,0.18744504825252428,126848.0,0.15206575393676758
CompressedFedAvg,CompressedFedAvg,ok,0.23124999999999998,0.714375,,,,66560.0,0.1021873950958252
LocalOnly,LocalOnly,ok,0.21750000000000003,0.6200000000000001,,,,0.0,0.027750253677368164
IFCA,IFCA,ok,0.21625,0.5912499999999999,0.625,0.375,0.4184941084299046,208000.0,0.16636013984680176
Oracle,Oracle,ok,0.15000000000000002,0.43125,1.0,0.0,0.8010279577432283,83200.0,0.028853654861450195
FedDrift,FedDrift,ok,0.145,0.46625,0.4583333333333333,0.5416666666666666,5.551206445700265e-11,83200.0,0.11187291145324707
FedEM,FedEM,ok,0.13,0.54375,0.4583333333333333,0.5416666666666666,0.5481768915802693,249696.0,0.10410690307617188
