method,canonical_method,status,final_accuracy,accuracy_auc,concept_re_id_accuracy,wrong_memory_reuse_rate,assignment_entropy,total_bytes,wall_clock_s
CFL,CFL,ok,0.625,2.0575,,,,83200.0,0.05585289001464844
FedCCFA,FedCCFA,ok,0.5662500000000001,1.386875,0.5,0.5,5.551206445700265e-11,165120.0,0.0798344612121582
FedProto,FedProto,ok,0.56375,1.998125,,,,81920.0,0.013861894607543945
FedRC,FedRC,ok,0.555,2.05375,0.4583333333333333,0.5416666666666666,5.551206445700265e-11,166400.0,0.09958457946777344
FLUX,FLUX,ok,0.5225,1.48875,,,,174592.0,0.28273534774780273
FLUX-prior,FLUX-prior,ok,0.47,1.33375,,,,174592.0,0.04223299026489258
Oracle,Oracle,ok,0.45749999999999996,1.625,1.0,0.0,0.8010279577432283,83200.0,0.027893781661987305
FedAvg-FPTTrain,FedAvg-FPTTrain,ok,0.4525,1.3449999999999998,,,,83200.0,0.0341944694519043
FedProTrack-linear-split,FedProTrack,ok,0.39,1.05625,0.5833333333333334,0.4166666666666667,0.3400262518236569,124848.0,0.11796331405639648
ATP,ATP,ok,0.35375,0.9656250000000001,,,,83328.0,0.025913238525390625
FedAvg,FedAvg,ok,0.28250000000000003,0.78,,,,83200.0,0.00686335563659668
APFL,APFL,ok,0.275,0.7500000000000001,,,,83232.0,0.04248452186584473
pFedMe,pFedMe,ok,0.23249999999999998,1.0775,,,,83200.0,0.10576677322387695
IFCA,IFCA,ok,0.2025,0.65125,0.5,0.5,5.552596074852754e-11,208000.0,0.11271977424621582
LocalOnly,LocalOnly,ok,0.17,0.48875,,,,0.0,0.010742902755737305
TrackedSummary,TrackedSummary,ok,0.17,0.5062500000000001,0.4583333333333333,0.5416666666666666,5.551206445700265e-11,126848.0,0.11549901962280273
Flash,Flash,ok,0.17,0.5062500000000001,,,,83200.0,0.04613757133483887
CompressedFedAvg,CompressedFedAvg,ok,0.15875,0.49187499999999995,,,,66560.0,0.03173637390136719
FedEM,FedEM,ok,0.15750000000000003,0.56125,0.5,0.5,0.3607318433832569,249696.0,0.04962444305419922
FedDrift,FedDrift,ok,0.1225,0.3975000000000001,0.4583333333333333,0.5416666666666666,5.551206445700265e-11,83200.0,0.052060604095458984
