seed,method,final_acc,re_id,entropy,auc,total_bytes,spawned_concepts,active_concepts,elapsed_s
42,FedProTrack,0.6708,0.7233,0.7723,17.2815,3808680,31,4,4.4
42,CFL,0.7516,0.0,0.0,20.1958,2889600,0,0,1.3
42,IFCA,0.3679,1.0,1.2042,9.1992,7224000,0,0,1.5
42,FedAvg,0.7065,0.0,0.0,18.6321,2889600,0,0,0.5
42,Oracle,0.7545,1.0,1.2042,21.2426,2889600,0,0,0.5
43,FedProTrack,0.6947,0.7,0.7444,17.4743,3777720,31,4,4.0
43,CFL,0.8429,0.0,0.0,20.1851,2889600,0,0,1.3
43,IFCA,0.2564,0.8567,0.9203,9.4209,7224000,0,0,1.4
43,FedAvg,0.792,0.0,0.0,18.5199,2889600,0,0,0.5
43,Oracle,0.863,1.0,1.0751,22.0801,2889600,0,0,0.5
44,FedProTrack,0.6625,0.7633,0.7513,17.5502,3777720,33,4,4.0
44,CFL,0.7784,0.0,0.0,20.4533,2889600,0,0,1.3
44,IFCA,0.4061,0.85,0.8804,10.5301,7224000,0,0,1.4
44,FedAvg,0.7177,0.0,0.0,18.6386,2889600,0,0,0.5
44,Oracle,0.769,1.0,1.1064,22.057,2889600,0,0,0.5
45,FedProTrack,0.7412,0.79,0.6907,17.0066,3808680,30,4,4.2
45,CFL,0.8251,0.0,0.0,19.6513,2889600,0,0,1.3
45,IFCA,0.3876,0.9967,0.9783,9.6697,7224000,0,0,1.4
45,FedAvg,0.769,0.0,0.0,17.964,2889600,0,0,0.5
45,Oracle,0.789,1.0,0.9737,20.8625,2889600,0,0,0.5
46,FedProTrack,0.6415,0.72,0.7494,17.1966,3808680,30,4,4.4
46,CFL,0.7395,0.0,0.0,20.7308,2889600,0,0,1.3
46,IFCA,0.2334,0.99,1.0872,9.3598,7224000,0,0,1.4
46,FedAvg,0.6863,0.0,0.0,19.1933,2889600,0,0,0.5
46,Oracle,0.7692,1.0,1.0771,22.1286,2889600,0,0,0.5
