method,seed,final_accuracy,accuracy_auc,concept_re_id_accuracy,assignment_entropy,wrong_memory_reuse_rate,total_bytes,wall_clock_s
FPT-linear,42,0.4959999999999999,6.4378,0.365,1.1613600116432616,0.635,1243200.0,1.8261160850524902
FPT-adapter,42,0.13240000000000002,2.0596,0.365,1.1613600116432616,0.635,5750112.0,2.572774887084961
CFL,42,0.6282,9.005899999999999,,,,936000.0,0.724003791809082
Oracle,42,0.37679999999999997,5.084999999999999,1.0,1.63257754801676,0.0,936000.0,0.3455648422241211
FPT-linear,43,0.45519999999999994,6.6396,0.47,1.1323210873395255,0.53,1243200.0,1.9063389301300049
FPT-adapter,43,0.1924,2.4350000000000005,0.47,1.1323210873395255,0.53,5996928.0,2.6300735473632812
CFL,43,0.5914,9.2386,,,,936000.0,0.7115776538848877
Oracle,43,0.3536,5.393000000000001,1.0,1.6358544570596176,0.0,936000.0,0.2942354679107666
FPT-linear,44,0.4675999999999999,6.4922,0.43,1.1656692244766764,0.57,1232800.0,1.7892253398895264
FPT-adapter,44,0.10400000000000002,1.8407999999999998,0.43,1.1656692244766764,0.57,5867664.0,2.4685051441192627
CFL,44,0.624,8.899099999999999,,,,936000.0,0.7381577491760254
Oracle,44,0.3884,5.727199999999999,1.0,1.583108448669987,0.0,936000.0,0.28695106506347656
