label_split,seed,method,final_acc,re_id,entropy,auc,total_bytes,elapsed_s
shared,42,FedProTrack,0.4315,0.7233,0.8441,10.8322,3808680,4.1
shared,42,CFL,0.532,0.0,0.0,14.1034,2889600,1.3
shared,42,IFCA,0.274,0.57,0.6141,5.7422,7224000,1.3
shared,42,FedAvg,0.4785,0.0,0.0,12.214,2889600,0.4
shared,42,Oracle,0.4525,1.0,1.2042,11.6175,2889600,0.5
shared,43,FedProTrack,0.5365,0.6933,0.8321,11.598,3777720,4.1
shared,43,CFL,0.6175,0.0,0.0,14.3213,2889600,1.3
shared,43,IFCA,0.3506,0.57,0.6349,5.8914,7224000,1.3
shared,43,FedAvg,0.5695,0.0,0.0,12.5105,2889600,0.5
shared,43,Oracle,0.5498,1.0,1.0751,12.6305,2889600,0.5
shared,44,FedProTrack,0.4188,0.7767,0.8295,11.7199,3788040,5.3
shared,44,CFL,0.5258,0.0,0.0,14.9262,2889600,1.4
shared,44,IFCA,0.269,0.3433,0.1699,5.9987,7224000,1.4
shared,44,FedAvg,0.472,0.0,0.0,13.058,2889600,0.5
shared,44,Oracle,0.451,1.0,1.1064,12.4449,2889600,0.5
overlapping,42,FedProTrack,0.514,0.7167,0.8133,12.9599,3798360,6.2
overlapping,42,CFL,0.6284,0.0,0.0,16.2392,2889600,2.2
overlapping,42,IFCA,0.2999,0.7967,0.9418,6.7749,7224000,2.2
overlapping,42,FedAvg,0.5635,0.0,0.0,14.2851,2889600,0.6
overlapping,42,Oracle,0.609,1.0,1.2042,16.9901,2889600,0.7
overlapping,43,FedProTrack,0.5868,0.6567,0.7766,14.3229,3798360,5.5
overlapping,43,CFL,0.6826,0.0,0.0,16.8099,2889600,1.6
overlapping,43,IFCA,0.3888,0.5867,0.5148,7.7061,7224000,1.5
overlapping,43,FedAvg,0.629,0.0,0.0,15.2025,2889600,0.6
overlapping,43,Oracle,0.7112,1.0,1.0751,17.9202,2889600,0.5
overlapping,44,FedProTrack,0.5208,0.7733,0.7828,13.7689,3777720,4.9
overlapping,44,CFL,0.6293,0.0,0.0,16.7582,2889600,1.6
overlapping,44,IFCA,0.2843,0.83,0.8659,8.1936,7224000,2.5
overlapping,44,FedAvg,0.5683,0.0,0.0,14.9671,2889600,1.1
overlapping,44,Oracle,0.6238,1.0,1.1064,17.6665,2889600,0.8
disjoint,42,FedProTrack,0.6708,0.7233,0.7723,17.2815,3808680,4.7
disjoint,42,CFL,0.7516,0.0,0.0,20.1958,2889600,1.4
disjoint,42,IFCA,0.3679,1.0,1.2042,9.1992,7224000,1.5
disjoint,42,FedAvg,0.7065,0.0,0.0,18.6321,2889600,0.5
disjoint,42,Oracle,0.7545,1.0,1.2042,21.2426,2889600,0.5
disjoint,43,FedProTrack,0.6947,0.7,0.7444,17.4743,3777720,5.1
disjoint,43,CFL,0.8429,0.0,0.0,20.1851,2889600,1.6
disjoint,43,IFCA,0.2564,0.8567,0.9203,9.4209,7224000,1.6
disjoint,43,FedAvg,0.792,0.0,0.0,18.5199,2889600,0.7
disjoint,43,Oracle,0.863,1.0,1.0751,22.0801,2889600,0.9
disjoint,44,FedProTrack,0.6625,0.7633,0.7513,17.5502,3777720,6.3
disjoint,44,CFL,0.7784,0.0,0.0,20.4533,2889600,1.5
disjoint,44,IFCA,0.4061,0.85,0.8804,10.5301,7224000,1.8
disjoint,44,FedAvg,0.7177,0.0,0.0,18.6386,2889600,0.6
disjoint,44,Oracle,0.769,1.0,1.1064,22.057,2889600,0.6
